cpf,e-mail,nome,sexo,idade
20523737300,alice_mendoza@outlook.com.br,Alice Mendoza,f,17
52532303514,katie_kelly@live.com,Katie Kelly,f,29
46271177107,allie_wallace@live.com,Allie Wallace,f,30
98506851238,tom_pratt@live.com,Tom Pratt,m,23
83625984504,lelia_barber@gmail.com,Lelia Barber,f,17
36218875393,adam_elliott@bol.com.br,Adam Elliott,m,29
05688006218,patrick_richardson@yahoo.com,Patrick Richardson,m,29
17962467436,warren_moreno@live.com,Warren Moreno,m,30
68678763400,jason_gray@outlook.com.br,Jason Gray,m,18
05944995939,anthony_butler@bol.com.br,Anthony Butler,m,18
53440552500,lester_romero@live.com,Lester Romero,m,22
57101366112,bill_valdez@gmail.com,Bill Valdez,m,15
21362447790,ricardo_hansen@outlook.com.br,Ricardo Hansen,m,27
08176406902,virgie_parks@bol.com.br,Virgie Parks,m,16
65400248519,lelia_pratt@live.com,Lelia Pratt,f,25
52175390543,mollie_mcdaniel@bol.com.br,Mollie McDaniel,f,25
10427168384,emma_horton@outlook.com.br,Emma Horton,f,27
92829478665,belle_cruz@gmail.com,Belle Cruz,f,18
55069034561,isabelle_butler@outlook.com.br,Isabelle Butler,f,22
71399333917,philip_hammond@yahoo.com,Philip Hammond,m,27
76910300106,louisa_hart@live.com,Louisa Hart,f,25
64884004280,peter_cobb@gmail.com,Peter Cobb,m,21
50399556265,flora_dawson@bol.com.br,Flora Dawson,f,26
28064459656,catherine_colon@gmail.com,Catherine Colon,f,24
47103158843,johnny_hammond@live.com,Johnny Hammond,m,27
24474322320,mason_guzman@gmail.com,Mason Guzman,m,24
50618781757,sophie_jackson@live.com,Sophie Jackson,f,21
89566034997,adam_ramsey@live.com,Adam Ramsey,m,22
12624839640,floyd_jensen@yahoo.com,Floyd Jensen,m,18
60558818960,ollie_mathis@outlook.com.br,Ollie Mathis,m,30
78901775425,alan_mcbride@gmail.com,Alan McBride,m,35
27225797743,brian_walker@live.com,Brian Walker,m,24
1974155986,nannie_dennis@live.com,Nannie Dennis,f,22
45333607346,lilly_curry@hotmail.com,Lilly Curry,f,25
71316936937,jeanette_jimenez@yahoo.com,Jeanette Jimenez,f,28
13936581134,caroline_ortiz@yahoo.com,Caroline Ortiz,f,27
78932406952,theresa_morton@bol.com.br,Theresa Morton,f,26
32056274230,dominic_carson@bol.com.br,Dominic Carson,m,17
66527798890,zachary_carr@hotmail.com,Zachary Carr,m,19
91066829799,carrie_graves@live.com,Carrie Graves,f,35
07065340180,mabel_steele@live.com,Mabel Steele,f,34
94742222075,georgia_price@outlook.com.br,Georgia Price,m,33
56423626588,brandon_lane@yahoo.com,Brandon Lane,m,38
71202979610,bessie_wise@live.com,Bessie Wise,f,60
52487236558,johanna_rivera@gmail.com,Johanna Rivera,f,20
55021199803,dollie_saunders@live.com,Dollie Saunders,f,50
92386880281,lida_lamb@live.com,Lida Lamb,f,40
88547397906,lawrence_becker@gmail.com,Lawrence Becker,m,45
47045437145,rhoda_mcgee@yahoo.com,Rhoda McGee,f,65
74710920842,aaron_hill@gmail.com,Aaron Hill,m,18
78162232001,polly_mitchell@live.com,Polly Mitchell,f,23
30572736967,sara_mckinney@bol.com.br,Sara McKinney,f,22
48586115312,maggie_fox@bol.com.br,Maggie Fox,f,30
95680807246,caroline_barrett@yahoo.com,Caroline Barrett,f,33
70733431763,ruby_barker@live.com,Ruby Barker,m,35
46241274201,cody_clark@hotmail.com,Cody Clark,m,34
26389895330,gene_perkins@yahoo.com,Gene Perkins,f,18
45233217791,harold_holmes@bol.com.br,Harold Holmes,m,24
53882074639,polly_casey@hotmail.com,Polly Casey,f,33
98144429842,tyler_james@live.com,Tyler James,m,31
31652359885,elizabeth_montgomery@gmail.com,Elizabeth Montgomery,f,32
76799894279,mildred_dixon@hotmail.com,Mildred Dixon,m,50
31875932674,mabelle_johnson@yahoo.com,Mabelle Johnson,f,22
66862176978,alberta_weber@outlook.com.br,Alberta Weber,f,18
45612616562,sean_porter@yahoo.com,Sean Porter,m,19
34627484836,lottie_bryant@live.com,Lottie Bryant,f,34
54500367446,jacob_elliott@bol.com.br,Jacob Elliott,m,41
16292787427,luella_mullins@bol.com.br,Luella Mullins,f,47
47711162880,jennie_james@yahoo.com,Jennie James,f,48
19328018552,norman_morton@hotmail.com,Norman Morton,f,35
22009364007,eunice_reid@gmail.com,Eunice Reid,f,33
88784474122,robert_farmer@outlook.com.br,Robert Farmer,m,34
84624941330,minnie_torres@yahoo.com,Minnie Torres,m,30
47264616800,oscar_hanson@hotmail.com,Oscar Hanson,m,22
41993654437,kyle_boyd@live.com,Kyle Boyd,m,24
26165762360,cody_patton@live.com,Cody Patton,m,25
87621170093,alfred_lee@yahoo.com,Alfred Lee,m,28
